commodity,brand,specification,sept,oct,nov,dec
Canned Beef - Beef Loaf,Argentina,170g,24,25,24,24
Canned Beef - Beef Loaf,Bingo,150g,18.5,18.5,18.5,18.5
Canned Beef - Beef Loaf,CDO,150g,20.75,20.75,20.75,20.75
Canned Beef - Beef Loaf,El Rancho,155g,,17.25,17.25,17.25
Canned Beef - Corned Beef,Argentina,150g,35.75,35.25,35.25,35.25
Canned Beef - Corned Beef,Argentina,175g,40.75,40.75,40.75,40.75
Canned Beef - Corned Beef,Bingo,150g,,21.5,21.5,
Canned Beef - Corned Beef,El Rancho,150g,,27.5,27.5,27.5
Canned Beef - Corned Beef,Purefoods,150g,75.5,80,75.5,75.5
Canned Beef - Corned Beef,Star,175g,42.5,39.5,39.5,39.5
Canned Beef - Corned Beef,Star,150g,34,34,34,34
Canned Beef - Corned Beef,Young's Town,150g,34.25,34.25,34.25,34.25
Canned Pork - Luncheon Meat,CDO,165g,38,39,38,38
Canned Pork - Luncheon Meat,Liberty,165g,,44,44.7,
Canned Pork - Luncheon Meat,Purefoods,165g,33.5,33.5,33.5,33.5
Canned Pork - Meat Loaf,Argentina,150g,23.75,23.5,23.25,22.75
Canned Pork - Meat Loaf,Argentina,170g,25.25,25,25,25
Canned Pork - Meat Loaf,Bingo,150g,21.25,20,20,20
Canned Pork - Meat Loaf,CDO,150g,20.75,20.75,20.75,20.75
Canned Pork - Meat Loaf,Winner,150g,,17,18,17
Canned Pork - Meat Loaf,Young's Town,155g,,,33.75,24.5
Condiments - Patis,Datu Puti,350ml,26.25,26.25,26.25,
Condiments - Patis,Lorins,350ml,23.25,23.25,23.25,23.25
Condiments - Patis,Lorins,150ml,11.5,11.5,11.5,11.5
Condiments - Patis,Marca Pina,350ml,,25,25,
Condiments - Patis,Silver Swan,350ml,23.75,23.75,23.75,
Condiments - Soy Sauce,Datu Puti,350ml,19.1,19.1,19.1,19.1
Condiments - Soy Sauce,Datu Puti,385ml,21.5,22.5,22.8,22
Condiments - Soy Sauce,Marca Pina,350ml,,21,20,
Condiments - Soy Sauce,Marca Pina,385ml,,23.7,23.7,23.7
Condiments - Soy Sauce,Silver Swan,200ml,,10.25,10.5,10.5
Condiments - Soy Sauce,Silver Swan,350ml,20.25,19.5,20.25,20
Condiments - Vinegar,Datu Puti,350ml,17.5,17.5,17.5,17.5
Condiments - Vinegar,Silver Swan,350ml,17.5,16.5,17.5,17.5
Condiments - Vinegar,Silver Swan,200ml,,7.5,7.5,7.5
Toilet Soap,Green Cross,125g,34,34,34,34
Toilet Soap,Green Cross,55g,13.75,13.75,13.75,13.75
Toilet Soap,Green Cross,85g,23.5,23.5,23.5,23.5
Toilet Soap,Johnson's and Johnson's,100g,36.75,33,36.75,33
Toilet Soap,Johnson's and Johnson's,150g,52.75,48,52.75,48
Toilet Soap,Johnson's and Johnson's,60g,,20,20,20
Toilet Soap,Palmolive ,55g,15.5,,15.5,15.5
Toilet Soap,Palmolive ,55g,15.5,,15.5,15.5
Toilet Soap,Safeguard  ,130g,49,49,49,46.75
Toilet Soap,Safeguard  ,60g,20.5,20.5,20.5,20.5
Toilet Soap,Shield,120g,,31,33.75,31
Toilet Soap,Shield,60g,,14.25,19,19
Toilet Soap,Shield,90g,,26.75,26.75,26.75
Toilet Soap,Tender Care,115g,41,41,42,41
Toilet Soap,Tender Care,55g,17,14.25,17.1,
Toilet Soap,Tender Care,80g,,28.5,26.7,28.5
Flour,Globe,25kg/bag,,1030,990,
