commodity,brand,specification,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec
Laundry Soap,Tide,125g,17,,13.75,13.75,13.75,14,14,14,14,14,14,14
Laundry Soap,Tide,125g,,,13.75,15.5,13.75,14,14,14,14,14,14,14
Laundry Soap,Tide,125g,17,,15.5,15.5,15,15,15,15,15,15,15,15.5
Laundry Soap,Tide,380g,41,,40,40,40,41.25,42.65,42.65,40,40,40,41.25
Laundry Soap,Tide,380g,41,,41,41,38.25,41.25,41.25,38.25,38.25,38.25,38.25,38.25
Laundry Soap,Tide,450g,,,46,47.5,49.85,46,49.85,46,46,46,46,46
Laundry Soap,Tide,380g,45,,41,40,40,40,40,40,40,40,40,41.25
Laundry Soap,Tide,450g,,,48,43.75,47.25,45,48.25,46,46,46,43.95,
Laundry Soap,Tide,380g,24,,24,24,24,,,24,24,,,
Laundry Soap,Tide,450g,43.25,,43.25,48,43.75,43.75,48.25,46,46,46,46,46
Laundry Soap,Tops,400g,,,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,30.75,30.75
Laundry Soap,Wings,370g,22.5,,22.5,23.25,24.55,22.5,24.55,22.5,22.5,22.5,22.5,23
Laundry Soap,Wings,370g,,,26,25.35,26.5,26,26.5,25.25,25.25,26,26.5,26.5
Laundry Soap,Wings,370g,22.5,,22.5,22.25,22.5,22.5,24.55,23,23,23,23,23
Laundry Soap,Wings,370g,26,,26,25.35,26,26,28.25,26,26,26,26,26.5
Laundry Soap,Wings,370g,22.5,,22.5,24.55,23.25,22.5,22.5,22.5,22.5,22.5,22.5,23
Processed Milk - Condensada,Alaska,160ml (206g),35,,35,35,35,35,35,35,35,35,35,35
Processed Milk - Condensada,Alaska,370g,56,,52.5,56.5,53.4,53.4,53.4,53.4,53.4,53.4,53.4,53.4
Processed Milk - Condensada,Alaska,545g,85.4,,92.25,91.5,89,86.2,86.2,86,86,86.2,91.5,91.5
Processed Milk - Condensada,Alaska,1L,,,187.5,184,,,,,,91,,
Processed Milk - Condensada,Angel,380g,53,,53.15,53.15,53.15,53.15,53.15,53,53,53.15,53.15,53.15
Processed Milk - Condensada,Cowbell,300ml,41,,,41,41,,,,,,,
Processed Milk - Condensada,Dairy,380g,,,,,47,,,53,,43,45.25,
Processed Milk - Condensada,Daisy,390g,,,45.75,46.8,,,46.25,46.2,46.5,48.75,,49.3
Processed Milk - Condensada,Doreen,390ml,49.3,,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3,49.3
Processed Milk - Condensada,F & N,390g,43.5,,44.25,44.25,44.25,44.25,44.25,44.25,44.25,44.25,44.25,44.25
Processed Milk - Condensada,F & N,500g,52.25,,57,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2
Processed Milk - Condensada,Goolait,390g,42.2,,41.75,42.2,43.75,41,43.75,41.95,42.25,41.5,41.5,
Processed Milk - Condensada,Healthy Cow,390g,39,,39,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75
Processed Milk - Condensada,Jolly Cow,390ml,50,,47.7,47.7,,,,,,,,
Processed Milk - Condensada,Liberty,168ml,34.75,,,34.75,34.75,,,,,,,
Processed Milk - Condensada,Liberty,300ml,53,,,53,53,,,,,,,
Processed Milk - Condensada,Liberty,374g,59.5,,59.5,59.5,59.5,59.5,65.4,59.5,59.5,59.5,59.5,59.5
Processed Milk - Condensada,Marie,380g,39.75,,41,44.75,41,41,41,41,41,41,41,41
Processed Milk - Condensada,Tropical Delights,390g,,,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,
Processed Milk - Condensed,Alaska,160g,49,,49.7,45.5,,,,,,,,
Processed Milk - Condensed,Alaska,208g,,,44.3,49.5,44.3,44.3,44.3,44.3,44.3,44.3,44.3,46
Processed Milk - Condensed,Alaska,377g,68.4,,72.5,73,70.6,70.6,70.6,73,73,70.6,73,70.6
Processed Milk - Condensed,Cow Bell,374g,45,,44.75,44.75,41,42,41,41,41,41,41,41
Processed Milk - Condensed,Jersey,390g,44.5,,44.5,40.75,40.75,40.75,40.75,40.75,40.75,40.75,40.75,43.5
Processed Milk - Condensed,Nestle,300ml,71.95,,71.95,71.95,69,69,69,69,69,69,69,69
Processed Milk - Evaporada,Alaska,140ml,19,,0,19.5,19.5,19.5,19.5,19.5,19.5,19.5,21.25,19.25
Processed Milk - Evaporada,Alaska,360ml,34.95,,33.25,,34.75,34.75,34.75,35,35,34.75,34.75,34.75
Processed Milk - Evaporada,Alaska,1L,89,,96.3,36,91,91,91,91,91,91,91,91
Processed Milk - Evaporada,Angel,140ml,,,94.2,96.3,94.5,,,,,,,
Processed Milk - Evaporada,Angel,365ml,,,,94.5,,,,,,,,
Processed Milk - Evaporada,Angel,410ml,31.75,,31.75,,31.75,32,32,32,32,32,32,32
Processed Milk - Evaporada,Cow Bell,370mL,31.75,,31.75,31.75,31.75,,,,,,,
Processed Milk - Evaporada,F & N,360ml (380g),28.5,,28.5,31.5,28.5,31.6,32.5,31.6,37.5,31.6,37.5,33.5
Processed Milk - Evaporada,Jersey,370ml,34.95,,31,28.5,31,31,31.75,31.75,31.75,31,34.95,34.95
Processed Milk - Evaporada,Healthy Cow,370ml,34.95,,27.75,29.25,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75
Processed Milk - Evaporada,Marie,380g,30.5,,29,28.75,31,31,31,31,31,31,31,31
Processed Milk - Evaporated,Alaska,140ml,31,,28.2,33.5,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2
Processed Milk - Evaporated,Alaska,360ml,53.75,,54.75,28.2,54.75,54.75,54.75,54.75,54.75,54.75,54.75,54.75
Processed Milk - Evaporated,Alaska,250ml,34.95,,53.75,54.75,59.5,,,,,,,
Processed Milk - Evaporated,Alpine,140ml,39,,41.75,60.5,39.15,42.25,42.25,41.75,41.75,41.75,41.75,41.75
Processed Milk - Evaporated,Alpine,360ml,66.8,,74,42.6,67.8,67.8,67.8,67.75,67.8,67.8,70,70
Processed Milk - Evaporated,Angel,370ml,44,,44,67.8,70,,,,48,48,48,48
Processed Milk - Evaporated,Carnation,154ml,48,,48,74,48,,,,,,,
Processed Milk - Evaporated,Carnation,370ml,,,,48,,,,,,,,
Processed Milk - Evaporated,Cow Bell,360ml,30,,30,,30.2,30.2,30.2,30.5,30.5,30.2,30.5,30.5
Processed Milk - Evaporated,Nestle,250ml,30,,31.5,30.5,30.5,,,,,,,
Processed Milk - Powdered,Alaska,33g,9,,9,30.5,9,9,9,9,9,9,9,9
Processed Milk - Powdered,Alaska,165g,,,9,9,9,,,,,,,
Processed Milk - Powdered,Alaska,300g,95,,90,9,90,90,90,90,90,90,90,90
Processed Milk - Powdered,Anchor,350g,95,,90,90,90,,,,,,,
Processed Milk - Powdered,Anchor,350g,,,,90,,,,,,,,
Processed Milk - Powdered,Bear Brand,33g,11.25,,12.25,,11.5,11.25,12,11.2,12,11.2,11.25,11.25
Processed Milk - Powdered,Bear Brand,135g,50,,50,12,50,45,45,45,45,45,45,45
Processed Milk - Powdered,Bear Brand,320g,50,,50,50,50,,,,,,,
Processed Milk - Powdered,Birch Tree,33g,10.5,,10.5,50,8.75,8.75,8.75,10,10,8.75,8.75,8.75
Processed Milk - Powdered,Birch Tree,150g,78,,49.8,8.75,8.75,,,,,,,
Processed Milk - Powdered,Birch Tree,300g,103,,93.5,8.75,93.5,93.5,104.5,96,96,96,94,94
Processed Milk - Powdered,Birch Tree,80g,,,103,89,104.5,,,,,,,45
Processed Milk - Powdered,Birch Tree,150g,70.75,,70.75,89,70.75,70.75,70.75,70.75,70.75,70.75,70.75,70.75
Processed Milk - Powdered,Birch Tree,300g,144.45,,144.45,,144.45,144.45,144.45,144.45,144.45,144.45,144.45,144.45
Processed Milk - Powdered,Healthy Cow,33g,144.45,,7.75,70.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75
Processed Milk - Powdered,Jersey,300g,96.25,,96.25,144.45,96.25,96.25,96.25,96.25,96.25,96.25,96.25,96.25
Processed Milk - Powdered,Milk Magic,350g,96.25,,96.25,7.75,96.25,154.5,155,154.5,154.5,154.5,154.5,154.5
Processed Milk - Powdered,Nido,160g,,,155,96.25,154.5,,,,,,,
Salt - Iodized Refined,Allatin,250g,,,,96.25,,,12,12,20.5,11.55,11.25,
Salt - Iodized Rock,Fidel,500g,21.25,,21.25,150.6,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25
Salt - Iodized Rock,Fidel,500g,21.25,,21.25,,21.25,,,,,,,
Salt - Iodized Refined,Fidel,250g,12.75,,12.75,21.25,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75
Salt - Iodized Refined,Fidel,500g,25,,25,21.25,25,25,25,25,25,25,25,25
Salt - Iodized Refined,Fidel,250g,25,,25,12.75,25,,,,,,,
Salt - Iodized Refined,Fidel,500g,13.5,,,25,13.5,,,,,,,
Salt - Iodized Refined,Fidel,250g,11.75,,11.75,25,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75
Salt - Iodized Refined,Fidel,500g,23,,23,13.5,23,23,23,23,23,23,23,23
Salt - Iodized Refined,Fidel,250g,23,,23,11.75,23,,,,,,,
Salt - Iodized Refined,Fidel,500g,12.25,,,23,12.25,,,,,,,
Salt - Iodized Refined,K Five,250g,23.25,,,23,23.25,,,,10.25,,,
Salt - Iodized Refined,K Five,500g,,,,12.25,,,,,,,,
Salt - Iodized Refined,Lasap,100g,,,4.25,23.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
Salt - Iodized Refined,Lasap,1kg,4.75,,31.5,,28.5,31.5,31.5,28.5,28.5,31.5,28.5,28.5
Salt - Iodized Refined,Lasap,250g,9,,31.5,4.75,9.75,9.75,8.5,8.5,8.5,9.75,8.5,9.75
Salt - Iodized Refined,Lasap,500g,16,,16,31.5,16,16,16,16,16,16,16,16
Salt - Iodized Refined,Marco Polo,1kg,17.25,,17.25,9.75,17.25,31.5,34.75,31.5,31.5,31.5,31.5,31.15
Salt - Iodized Refined,Marco Polo,500g,,,20.1,16,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
Salt - Iodized Refined,Mc Cormick,150g,13.5,,12,31.5,12,12,12,12,12,12,13.25,13.25
Salt - Iodized Refined,Mc Cormick,1kg,56.5,,50,18.5,50,50,50,50,50,50,56.5,50
Salt - Iodized Refined,Mc Cormick,250g,,,54,13.25,56.5,,,,,,,
Salt - Iodized Refined,Mc Cormick,500g,32,,28.25,56.5,28.25,32,28.25,28.25,28.25,28.25,32,32
Salt - Iodized Refined,Metro Select,250g,,,32.5,56.5,28.25,,,,,,,
Salt - Iodized Refined,Metro Select,1kg,,,,32,,,,,,,,
Salt - Iodized Refined,Pure Basics,500g,17,,17,32,17,17,17,17,17,17,17,17
Salt - Iodized Refined,RAM,250g,,,17,,17,10.5,9.55,9.55,9.5,10.5,10.75,9.5
Salt - Iodized Refined,RAM,500g,,,18.5,17,18.2,19.9,18.85,18.15,17.3,20.5,19,17.6
Salt - Iodized Refined,Surebuy,500g,,,,17,18.5,,,,,,,14.5
Salt - Iodized Refined,Surebuy,1kg,,,,20,,31,,,31,,,
Salt - Iodized Refined,TJ,1kg,,,,17.25,,,,,,,,
Salt - Iodized Refined,TJ,250g,,,,31,,,,,,,,
Salt - Iodized Refined,UFC,1kg,,,,31,,38.25,,45,39.75,36,39.75,36
Salt - Iodized Rock,Fidel,250g,11,,11,,11,11,11,11,11,11,11,11
Salt - Iodized Rock,Fidel,250g,11,,11,,11,,,,,,,
Salt - Iodized Rock,Lasap,1kg,23,,25,11,23,23,25,23,23,25,23,23
Salt - Iodized Rock,Lasap,250g,25,,7,11,,7,7,7,7,7,7,7
Salt - Iodized Rock,Lasap,500g,12.5,,12.5,25,12.5,12.5,13.5,12.5,12.5,12.5,12.5,13.5
Salt - Iodized Rock,Mc Cormick,250g,13.5,,13.5,25,,,,,,,,
Salt - Iodized Rock,Mc Cormick,1kg,54,,,13.5,,,,,,,,
Salt - Iodized Rock,Mc Cormick,500g,54,,,13.5,,,,,,,,
Salt - Iodized Rock,Pure Basics,500g,32.5,,15,,,15,15,15,15,15,15,15
Salt - Iodized Rock,Pure Basics,1kg,,,,,,21.5,21.5,21.5,21.5,21.5,21.5,21.5
PRODUCT CATEGORY,BRAND NAME,SPECIFICATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC
Battery,Energizer,4pcs/pack,196.5,196.5,196.5,196.5,206.25,206.25,206.25,206.25,206.25,206.25,206.25,206.25
Battery,Eveready,4pcs/pack,48,,48,48,,,,,,,,
Battery,Eveready,2pcs/pack,51.25,,51.25,51.25,,,,,,,,
Battery,Eveready,2pcs/pack,27,,27,27,,,,,,,,
Battery,Eveready,2pcs/pack,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75
Battery,Eveready,2pcs/pack,39.95,,39.95,39.95,,,,39.75,39.75,,,
Canned Beef - Beef Loaf,555,150g,19.5,19.5,19.5,19.5,19.5,,,18.15,18.5,19.5,,
Canned Beef - Beef Loaf,Argentina,150g,20,20,20,20,20,20,20,20,20,20,20,20
Canned Beef - Beef Loaf,Argentina,170g,24,24,24,24,24,24,24,24,24,24,24,24
Canned Beef - Beef Loaf,Argentina,250g,50.5,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
Canned Beef - Beef Loaf,Bingo,150g,18.5,18.5,18.5,18.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
Canned Beef - Beef Loaf,CDO,150g,20.75,20.75,20.75,20.75,20.75,21,21,21,21,21,21,21
Canned Beef - Beef Loaf,El Rancho,155g,17.75,17.75,18.25,18.25,18.25,18.25,18.25,,19.5,19.25,,19.5
Canned Beef - Beef Loaf,Purefoods  ,150g,18.15,,18.15,18.15,,,,,,,,
Canned Beef - Beef Loaf,Purefoods,200g,24.9,,24.9,24.9,,,,,,,,
Canned Beef - Beef Loaf,Senorita,150g,,19.2,19.4,19.5,19.25,19.25,19.25,21.5,19.25,21.5,19.25,21.5
Canned Beef - Beef Loaf,Winner,150g,22,,18,,,,23.1,,23.1,,23.1,
Canned Beef - Beef Loaf,Wow,150g,,,,,,,,18,,,,
Canned Beef - Corned Beef,555,100g,19.6,20,20,20,20,20.5,20.5,20.5,20.5,20.5,20.5,20.5
Canned Beef - Corned Beef,555,150g,31.25,29.25,29.25,29.25,29.25,29.5,29.5,29.5,29.5,29.5,29.5,29.5
Canned Beef - Corned Beef,555,175g,35,35,35,40.1,35,35,35,35.25,35.25,35,35,35
Canned Beef - Corned Beef,Argentina,100g,34,26.5,26.5,26.5,26.5,27,27,27,27,27,27,27
Canned Beef - Corned Beef,Argentina,150g,34,34,34,34,34,35,35,35,35,35,35,35
Canned Beef - Corned Beef,Argentina,175g,40.25,40.25,40.25,40.5,40.25,40.75,40.75,40.75,40.75,40.75,40.75,40.75
Canned Beef - Corned Beef,Argentina,260g,56.5,57.25,57.25,57.25,57.25,58.25,58.25,57.5,57.5,58.25,57.5,58.25
Canned Beef - Corned Beef,Bingo,100g,15.75,15.75,15.75,15.75,15.75,16,16,16,16,16,16,16
Canned Beef - Corned Beef,Bingo,150g,21,21,21,21,21,23,23,23,23,23,23,23
Canned Beef - Corned Beef,Bingo,210g,,,,,59.5,30,47.3,27.75,30,28.5,,
Canned Beef - Corned Beef,CDO,150g,38,35.25,35.25,35.25,35.25,35.75,35.75,35.75,34.75,34.75,34.75,34.75
Canned Beef - Corned Beef,CDO,260g,,59.5,59.5,61,59.5,60.75,60.75,60.75,58.75,58.75,58.75,58.75
Canned Beef - Corned Beef,CDO,100g,20,20,20,20,20,20.5,20.5,20.5,20.5,20.5,20.5,20.5
Canned Beef - Corned Beef,CDO,175g,32.75,32.75,32.75,35.75,32.75,33.5,33.5,33.5,33.5,33.5,33.5,33.5
Canned Beef - Corned Beef,CDO,260g,46.75,46.75,46.75,46.75,46.75,47.75,47.75,47.75,47.75,47.75,47.75,47.75
Canned Beef - Corned Beef,El Rancho,150g,31.25,31.25,31.25,31.25,,,31.25,31.25,,,31.25,30.2
Canned Beef - Corned Beef,Highlands,150g,53.5,53.5,53.5,53.5,53.5,55,55,55,57.5,57.5,57.5,57.5
Canned Beef - Corned Beef,Highlands,180g,99,63.5,63.5,63.5,63.5,65.75,65.75,65.75,65.75,68.75,68.75,68.75
Canned Beef - Corned Beef,Highlands,260g,89.5,89.5,89.5,89.5,89.5,92.5,92.5,92.5,97,97,97,97
Canned Beef - Corned Beef,Liberty,150g,,,,,,,,,,,,97
Canned Beef - Corned Beef,Lucky 7,100g,16.25,16.25,16.25,16.25,16.25,16.75,16.75,16.75,16.75,16.75,16.75,16.75
Canned Beef - Corned Beef,Lucky 7,150g,21.25,21.25,21.25,19.75,19.75,19.5,19.5,19.5,19.5,19.5,19.5,19.75
Canned Beef - Corned Beef,Lucky 7,210g,28.75,28.75,28.75,28.75,28.75,29.25,29.25,29.25,29.25,29.25,29.25,29.25
Canned Beef - Corned Beef,Montenero,210g,75,75,75,75,75,75,75,77,77,77,77,77
Canned Beef - Corned Beef,Purefoods,150g,79,76,86,86,86,86,86,86,86,86,86,86
Canned Beef - Corned Beef,Purefoods,210g,102,119,119,119,119,119,119,119,119,119,119,119
Canned Beef - Corned Beef,Senorita,150g,30.6,30.95,,,34,,30.5,,30.5,34,,
Canned Beef - Corned Beef,SM Bonus,175g,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75
Canned Beef - Corned Beef,Star,175g,42,42,42,41.5,39.5,42,,40.75,42,,,
Canned Beef - Corned Beef,Star,150g,34,34,34,34,34,34,34,34,34,,,
Canned Beef - Corned Beef,Swift,150g,,,,39.5,,,,37.05,,,,
Canned Beef - Corned Beef,Wagi,150g,20.5,20.5,20.5,20.5,21,21,21,21,21,21,21,21
Canned Beef - Corned Beef,Winner,150g,33.75,,33.75,33.75,,,,,,,21,
Canned Beef - Corned Beef,Young's Town,150g,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25
Canned Pork - Luncheon Meat,CDO,150g,,,,,,,,20.75,20.35,,,
Canned Pork - Luncheon Meat,CDO,165g,36.5,36.5,36.5,39,36.5,37.75,41,41,41,41,41,37.75
Canned Pork - Luncheon Meat,CDO,220g,74,53,53,53,53,55,54.75,54.75,54.75,54.75,54.75,54.75
Canned Pork - Luncheon Meat,CDO,350g,82,82,82,82,82,84,84,84,84,84,84,84
Canned Pork - Luncheon Meat,Highlands,165g,49.5,49.5,,,,,,,,,,
Canned Pork - Luncheon Meat,La Filipina,110g,88.25,78.85,,,,,,,,,,
Canned Pork - Luncheon Meat,La Filipina,190g,88.25,96.1,85,85,94,94,85,85,95.25,94,94,94
Canned Pork - Luncheon Meat,La Filipina,235g,,96.1,102,102,102,102,,,102.75,102,102,102
Canned Pork - Luncheon Meat,Liberty,165g,33,48,33,44.75,33,33,47,33,33,33,33,33
Canned Pork - Luncheon Meat,Liberty,375g,84.5,79,79,86.5,79,79,79,79,79,79,79,79
Canned Pork - Luncheon Meat,Maling,397g,,,,,,,,118.95,,,,
Canned Pork - Luncheon Meat,Philips,350g,90,94,90,94,94,94,94,90,94,90,90,90
Canned Pork - Luncheon Meat,Purefoods,165g,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
Canned Pork - Luncheon Meat,Purefoods,230g,93,,,,86,,,,,86.2,,91
Canned Pork - Luncheon Meat,Purefoods,350g,112,86,86,86,86,86,86,86,86,86,86,86
Canned Pork - Luncheon Meat,Purefoods,215g,,,,,,,95,,,85,,
Canned Pork - Luncheon Meat,Shanghai,375g,82,82,82,82,82,85,85,85,85,85,85,85
Canned Pork - Luncheon Meat,SM Bonus,340g,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5,72.5
Canned Pork - Luncheon Meat,Wagi,340g,75,75,75,75,75,75,75,75,75,75,75,75
Canned Pork - Meat Loaf,555,150g,19.5,,19.5,19.5,,,,,,,,
Canned Pork - Meat Loaf,Argentina,100g,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25
Canned Pork - Meat Loaf,Argentina,150g,21.75,21.5,21.75,21.75,21.75,21.75,20,20,20,20,20,20
Canned Pork - Meat Loaf,Argentina,170g,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
Canned Pork - Meat Loaf,Argentina,250g,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4
Canned Pork - Meat Loaf,Bingo,150g,20,20,20,21.25,21.25,21.25,20.25,21.25,20.25,20.25,20.25,20.25
Canned Pork - Meat Loaf,CDO,150g,20.75,20.75,20.75,20.75,20.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75
Canned Pork - Meat Loaf,Lucky 7,150g,,20.5,22.5,22,22.5,21.65,22.5,20.5,20.5,20.5,20.5,20.5
Canned Pork - Meat Loaf,Philips,150g,21.75,21.75,22,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75
Canned Pork - Meat Loaf,Philips,200g,28,,24,,30,28,28,28,28,28,28,28
Canned Pork - Meat Loaf,Star,150g,20,20,20,20,20,20,22.5,22.75,22.75,22.75,22.75,22.75
Canned Pork - Meat Loaf,Winner,150g,18,18,18,18,18,18,18,18,18,18,18,18
Canned Pork - Meat Loaf,Young's Town,155g,,25,,,,,,,22,,26.25,26.1
Condiments - Patis,Datu Puti,100g,,16,6.25,,,13.1,,,,,,
Condiments - Patis,Datu Puti,350ml,25,27,27,27,,,,,,,,
Condiments - Patis,Datu Puti,350ml,25.5,25,25,26.25,25,25,25.75,25,26,25,25,26
Condiments - Patis,Datu Puti,350ml,28.25,,28.25,28.25,,,,,,,,
Condiments - Patis,Datu Puti,350ml,28.25,,28.25,28.25,,,,,,,,
Condiments - Patis,Datu Puti,1L,108,71.75,71.75,85,71.75,78.5,71.75,71.75,71.75,71.75,71.75,71.75
Condiments - Patis,La Marina,340ml,,,,,,21,22.95,23,23,23,23,23
Condiments - Patis,Lorins,350ml,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25
Condiments - Patis,Lorins,350ml,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25
Condiments - Patis,Lorins,150ml,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Condiments - Patis,Marca Pina,150g,14.8,13.5,,,,,,,,,,
Condiments - Patis,Marca Pina,350ml,21.5,,,,,,,,,,,
Condiments - Patis,Marca Pina,1L,,76,79.7,68.75,76,76,79.7,73.75,81.5,81.5,77.5,77.5
Condiments - Patis,Nelicom,350ml,30.5,,30.5,30.5,,,,,,29,,
Condiments - Patis,Nelicom,350ml,30.5,,30.5,30.5,30.5,28.25,,29,28.25,29.5,29,29.5
Condiments - Patis,Nelicom,350ml,31.75,,31.75,31.75,,,,,,,,
Condiments - Patis,Nelicom,350ml,31.75,,31.75,31.75,,,,,,,,
Condiments - Patis,Rufina,325ml,,,34.5,,,,,,34.5,,34.5,
Condiments - Patis,Silver Swan,100ml,10.15,10,10.75,10.75,10.75,10,10.15,10,10,10,10,10
Condiments - Patis,Silver Swan,350ml,23.75,,24.5,24.5,,,,,,,,
Condiments - Patis,Silver Swan,350ml,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
Condiments - Patis,Tentay,350ml,,,24.5,23.5,23.5,23.5,24.2,22.5,21.85,22.5,,
Condiments - Patis,Tentay,385ml,,,,,,23.5,,28.5,,,,
Condiments - Soy Sauce,Coconut,350ml,52,54.5,55,54.5,52,54.5,54.5,52,54.5,54.5,54.5,54.5
Condiments - Soy Sauce,Coconut,1L,115,115,123.5,123.5,123.5,123.5,117.2,115,115,123.5,123.5,117.2
Condiments - Soy Sauce,Datu Puti,100ml,,6.6,6.6,7,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
Condiments - Soy Sauce,Datu Puti,200ml,10,10,10,10.5,10.5,10.5,10,10.5,10,10,10,10.5
Condiments - Soy Sauce,Datu Puti,350ml,20.5,,20.5,20.5,,,,,,,,
Condiments - Soy Sauce,Datu Puti,350ml,20.5,,20.5,20.5,,,,,,,,
Condiments - Soy Sauce,Datu Puti,350ml,19,,19.75,19.75,,,,,,,,
Condiments - Soy Sauce,Datu Puti,350ml,19,19,19.75,19,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75
Condiments - Soy Sauce,Datu Puti,385ml,22,22,22,22,22,22,21.25,22,22,22,22,22
Condiments - Soy Sauce,Datu Puti,1L,51,51,51,53,51,51,51,51,51,51,51,51
Condiments - Soy Sauce,Datu Puti,1L,48,48,53.5,54,48,48,48,48,48,48,48,48
Condiments - Soy Sauce,Marca Pina,200ml,11.9,11.5,11.5,11.5,11.5,11.5,12.5,11.9,12.5,12.2,11,12.5
Condiments - Soy Sauce,Marca Pina,350ml,21.5,21,21,19.75,20.75,21,21,21,21,21.5,21.5,21.5
Condiments - Soy Sauce,Marca Pina,350ml,21,21.35,,,,,21.2,24.25,24.1,21.5,21.45,20
Condiments - Soy Sauce,Marca Pina,385ml,22.5,22.5,22.5,22.5,24.1,22.5,22.5,24.1,25,23.5,23.5,23.5
Condiments - Soy Sauce,Marca Pina,500ml,,42,39.5,39.5,39.5,39.5,41,39.5,39.5,39.5,39.5,39.5
Condiments - Soy Sauce,Select,200ml,,9.5,10,,10,10,10.5,9.25,9.5,9.25,10,9.8
Condiments - Soy Sauce,Select,340ml,,17.75,20.25,,17.25,,17.75,17.75,17.8,,,
Condiments - Soy Sauce,Silver Swan,100ml,6.8,6.8,7,7.5,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
Condiments - Soy Sauce,Silver Swan,200ml,10.5,10.5,10.5,11,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
Condiments - Soy Sauce,Silver Swan,200ml,11.5,,11.5,11.5,,,,,,,,
Condiments - Soy Sauce,Silver Swan,350ml,20,,20.75,20.75,,,,,,,,
Condiments - Soy Sauce,Silver Swan,350ml,19.25,19.25,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75
Condiments - Soy Sauce,Silver Swan,500ml,,,,,,29.5,30.25,28.5,28.5,28.5,28.5,28.5
Condiments - Soy Sauce,Silver Swan,1L,53,52.75,55,55,52.75,53.5,55,52.75,52.75,52.75,53.5,53.55
Condiments - Vinegar,Datu Puti,200ml,7.7,7.75,8,8,7.7,8,7.7,7.7,8,8,8,8
Condiments - Vinegar,Datu Puti,350ml,19,16,,,,,,,,,,
Condiments - Vinegar,Datu Puti,350ml,18,18,18,18,18,18,18,18,18,18,18,18
Condiments - Vinegar,Datu Puti,350ml,18,,18,18,,,,,,,,
Condiments - Vinegar,Datu Puti,350ml,18.75,,18.75,18.75,,,,,,,,
Condiments - Vinegar,Datu Puti,350ml,18.75,,18.75,18.75,,,,,,,,
Condiments - Vinegar,Datu Puti,350ml,18,17.5,17.5,18,16,16,16,16,16.5,16,16,16.5
Condiments - Vinegar,Datu Puti,1L,41.25,41.25,41.25,47,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25
Condiments - Vinegar,Datu Puti,1L,41,44,39.75,44,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75
Condiments - Vinegar,Marca Pina,200ml,9,9.25,9,9.25,9.25,9.25,9,9,9.5,9.3,9.5,9.5
Condiments - Vinegar,Marca Pina,350ml,17.35,17.4,,,,17.5,19,16.75,17.15,17.85,17.45,17.5
