commodity,brand,specification,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec
Bottled Water - Purified,SIP,1L,,20,20,20,20,20,20,20,20,20,20,20
Bottled Water - Purified,SM Bonus,300ml,5,,,5,5,,,,,,,
Bottled Water - Purified,Vital,350ml,,6.4,6.4,5.65,6.7,6.7,7,5.65,6.7,5.65,5.65,6.5
Bottled Water - Purified,Vital,500ml,,8.5,8.5,7.05,8.5,8.5,9.5,7.05,8.5,7.05,7.05,8.75
Bottled Water - Purified,Vital,1L,,16.4,16.4,12.6,15,13.3,16.4,12.6,16.4,12.6,12.6,14.5
Bottled Water - Purified,Vital,6L,,,,60.5,,,60.5,,,60,,
Bottled Water - Purified,WET,330ml,6.5,6.5,6.5,6.5,5.8,6.75,5.75,5.75,5.8,5.8,6.75,6.75
Bottled Water - Purified,WET,1L,,13.3,13.3,13.3,13.3,13.3,13,13,13,13.65,11.65,13
Bottled Water - Purified,Wilkins,330ml,10,10,10,12,10,10,10,10,10,10,10,9
Bottled Water - Purified,Wilkins,500ml,11,11,11,11,11,11,11,11,11,11,11,11
Bottled Water - Purified,Wilkins,1L,18,18,18,18,18,18,18,18,18,18,18,18
Bread - Loaf,Bread Winner,600g,,,,,62,62,,62,79,,62,62
Bread - Loaf,Fuwa Fuwa,366g,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5
Bread - Loaf,Gardenia,400g,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5
Bread - Loaf,Gardenia,600g,85,85,85,85,85,85,85,85,85,85,85,85
Bread - Loaf,Juan,450g,,,,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75
Bread - Loaf,Marby,450g,55.75,55.75,55.75,55.75,55.75,55.75,55.75,57,57,57,57,57
Bread - Loaf,Marby,600g,79.75,79.75,79.75,79.75,79.75,79.75,82,82,82,82,82,82
Bread - Loaf,Melle's,550g,,77.25,77.25,75,75,75,75,75,75,75,75,75
Bread - Loaf,Monde,600g,84,85,85,85,85,85,85,85,85,85,85,85
Bread - Loaf,Neu Bake,450g,54,54,54,54,54,54,54,54,54,54,54,54
Bread - Loaf,Pinoy,450g,40.5,40.5,40.5,44,44,44,44,44,44,44,44,44
Bread - Loaf,SM Bonus,450g,46,46,46,46,46,46,46,46,46,46,46,46
Bread - Loaf,Tiffany's,600g,,66,66,66,66,66,66,,66,66,66,66
Bread - Loaf,Tiffany's,620g,,66,66,66,66,66,66,66,66,66,66,66
Bread - Loaf,Tiffany's,720g,,79,79,79,79,79,79,79,79,79,79,79
Bread - Pandesal,Coco Pinoy,250g,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,,,
Bread - Pandesal,Gardenia,300g,54,54,54,54,54,54,54,54,54,54,54,54
