commodity,brand,specification,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Canned Sardines in tomato sauce,Lucky 7 Sardines,155g,16.0,16.0,16.6,16.6,16.6,17.25,17.25,17.25,17.25,17.25,17.25,17.25
Canned Sardines in tomato sauce,Toyo Sardines Regular Lid,155g,16.75,16.75,16.75,16.85,,,,,,,,
Canned Sardines in tomato sauce,Hakata Sardines (Easy Open),155g,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.9,18.9,18.9,18.9,18.9
Canned Sardines in tomato sauce,555 (EOC) Sardines,155g,18.5,19.0,19.25,19.25,21.0,21.0,21.0,21.0,22.0,22.0,22.5,22.5
Canned Sardines in tomato sauce,Family's Brand Bonus Pack Plain Sardines,155g,18.25,18.25,18.75,18.75,18.75,19.5,19.5,19.5,21.0,21.0,22.0,22.0
Canned Sardines in tomato sauce,Ligo Sardines (EOC) - LUZON,155g,20.0,20.0,21.0,21.0,21.0,24.0,22.5,22.5,24.25,24.25,23.75,23.75
Canned Sardines in tomato sauce,Master Sardines Bonus Pack (Easy-Open),155g,18.5,18.5,18.5,19.0,19.0,20.0,20.0,21.1,21.1,21.1,21.1,22.15
Canned Sardines in tomato sauce,Master Sardines (Easy Open),155g,18.75,18.75,18.75,18.15,19.25,20.0,18.65,20.0,21.5,21.5,22.5,22.5
Canned Sardines in tomato sauce,Mega Sardines (Easy Open Can),155g,18.75,18.5,18.5,19.75,19.75,20.5,20.5,20.75,21.5,21.75,21.5,21.5
Canned Sardines in tomato sauce,Paradiso Sardines (EOC),155g,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.75,19.75,19.75,19.75
Canned Sardines in tomato sauce,Rose Bowl Sardines - NCR,155g,17.75,18.6,17.75,20.25,20.25,20.25,20.25,20.25,20.25,21.9,21.9,21.9
Canned Sardines in tomato sauce,Saba Sardines - NCR,155g,18.0,18.0,18.0,19.65,19.65,19.65,19.65,19.65,19.65,21.3,21.3,21.3
Canned Sardines in tomato sauce,Young's Town Sardines (EOC),155g,19.25,19.25,20.5,20.5,20.5,21.75,21.75,21.75,21.75,21.75,23.0,23.0
Canned Sardines in tomato sauce,Young's Town Premium (Easy Open Can) Sardines,155g,19.5,19.5,20.5,20.5,21.5,21.75,21.75,21.3,21.3,21.75,23.0,23.25
Canned Sardines in tomato sauce,King Cup Sardines (Easy Open Can),155g,17.75,17.75,17.75,18.5,18.5,18.5,18.5,18.5,19.0,19.0,19.0,19.0
Canned Sardines in tomato sauce,Uni-Pak Premium Sardines (Easy Open),155g,19.0,19.5,19.0,18.5,,18.75,19.0,20.5,20.5,20.5,20.5,19.75
Canned Sardines in tomato sauce,Hakone Premium,155g,17.0,17.0,17.0,17.75,18.0,18.25,18.65,19.75,19.0,19.75,19.75,19.75
Canned Sardines in tomato sauce,Family's Brand Premium Pack Sardines (Easy Open),155g,19.0,19.0,19.0,19.5,19.5,19.5,20.25,21.25,20.25,20.25,20.25,20.25
Canned Sardines in tomato sauce,Mikado Sardines Regular Lid,155g,15.75,15.75,15.75,15.75,15.75,15.75,15.75,15.75,,,,
Canned Sardines in tomato sauce,SM Bonus Sardines,155g,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,19.75,19.75,21.0
Canned Sardines in tomato sauce,Senorita Sardines EOC,155g,20.0,20.0,20.0,20.0,20.75,19.75,21.0,21.25,21.25,22.5,21.25,22.5
Canned Sardines in tomato sauce,Swan Sardines (Easy Open Can),155g,17.55,17.55,17.55,,19.45,19.45,20.5,20.75,20.25,21.75,20.25,20.25
Canned Sardines in tomato sauce,Mariko Sardines Regular Lid,155g,16.5,16.25,16.25,16.5,16.5,16.5,16.5,16.25,16.25,16.25,16.25,16.25
Canned Sardines in tomato sauce,Sallenas Sardines (Easy Open),155g,17.75,17.75,17.75,,17.4,17.4,17.4,18.55,18.55,18.55,18.85,18.55
Canned Sardines in tomato sauce,Atami Sardines Easy Open Can,155g,16.75,15.9,16.75,16.75,16.75,16.75,16.75,17.5,17.5,18.5,18.5,18.5
Canned Sardines in tomato sauce,Mikado Sardines Easy Open Can,155g,16.75,,16.75,,16.75,,,17.5,18.5,18.5,,18.5
Canned Sardines in tomato sauce,Toyo Premium (Regular Lid),155g,,,,,16.35,17.0,17.65,17.65,18.7,18.65,18.65,
Canned Sardines in tomato sauce,Toyo Premium (EOC),155g,,,,,,18.4,18.35,18.35,19.55,18.35,19.58,18.35
Processed Milk - Condensed,Alaska Classic Sweetened Filled Milk,300mL,57.0,58.75,59.5,59.5,61.5,61.5,64.5,64.5,68.5,68.5,68.5,68.5
Processed Milk - Condensed,Jersey Sweetened Condensed Creamer,390g,31.75,31.75,36.0,36.0,36.0,38.0,34.0,38.0,38.0,39.25,39.25,39.25
Processed Milk - Condensed,Alaska Classic Sweetened Filled Milk,168mL,38.75,38.75,40.25,40.25,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Processed Milk - Condensed,Nestle Milkmaid Full Cream (Recombined Sweetened Condensed Milk,300ml,,,,,75.0,75.0,78.5,80.0,88.0,88.0,93.95,96.0
Processed Milk - Condensed,Nestle Carnation Condensada (Sweetened Condensed Creamer),300ml,,,,,49.5,49.5,56.5,56.5,61.0,61.0,61.0,61.0
Processed Milk - Evaporated,Alaska Classic Evaporated Filled Milk,370mL,41.0,43.5,43.5,43.5,45.0,45.0,49.5,49.5,54.45,54.45,54.45,54.45
Processed Milk - Evaporated,Alpine Reconstituted Evaporated Full Cream Milk,370mL,56.5,61.5,61.5,61.5,64.0,63.5,64.0,64.0,64.0,64.0,64.5,64.5
Processed Milk - Evaporated,Angel Evaporated Filled Milk,410mL,39.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,44.0,44.0,44.0
Processed Milk - Evaporated,Alaska Classic Evaporated Filled Milk,154mL,,24.75,24.75,24.75,26.0,26.0,26.0,26.0,26.0,26.0,26.0,24.55
Processed Milk - Evaporated,Alpine Reconstituted Evaporated Full Cream Milk,154mL,31.5,32.5,32.5,32.5,34.5,34.5,34.5,34.5,34.5,34.5,34.75,34.5
Processed Milk - Evaporated,Nestle Carnation Evaporated Creamer (Resealable Pack),250mL,,,,,,,,,28.0,28.5,30.5,30.5
Processed Milk - Evaporada,ALASKA Evaporada (Evaporated Creamer),370mL,26.5,26.5,28.75,28.75,28.75,28.75,29.75,29.75,29.75,31.5,31.5,31.5
Processed Milk - Evaporada,Angel Evaporada (Evaporated Liquid Creamer),410mL,23.9,25.0,25.0,28.5,30.0,30.0,31.5,31.5,28.75,28.75,28.75,35.5
Processed Milk - Evaporada,Angel Evaporada (Evaporated Liquid Creamer),365ml,21.0,22.0,22.0,22.0,23.5,23.5,23.5,23.5,24.5,24.5,24.5,26.5
Processed Milk - Evaporada,Cow Bell Evaporada (Evaporated Creamer),370mL,22.0,22.0,23.75,23.75,23.75,23.75,24.5,24.5,24.5,25.95,25.95,25.95
Processed Milk - Evaporada,Jersey Evaporada,370mL,23.9,23.9,25.25,25.25,25.25,25.25,25.25,25.25,29.5,29.5,29.5,29.5
Processed Milk - Evaporada,ALASKA Evaporada,140mL,12.2,12.25,12.25,12.95,14.75,16.25,15.0,15.0,15.75,16.75,16.75,16.75
Processed Milk - Evaporada,Angel Evaporada (Evaporated Liquid Creamer),140mL,,,,,,,,,10.0,10.0,12.0,12.0
Processed Milk - Powdered,Alaska Fortified Powdered Milk Drink,165g,43.25,43.25,44.0,44.0,44.0,43.25,43.25,,42.35,,,
Processed Milk - Powdered,Bear Brand Fortified Powdered Milk Drink,150g,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Processed Milk - Powdered,Birch Tree Full Cream Milk,150g,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75,64.75
Processed Milk - Powdered,Alaska Fortified Powdered Milk Drink,330g,80.75,80.75,80.75,80.75,80.75,80.75,80.75,,,,,
Processed Milk - Powdered,Anchor Full Cream Milk (Fortified),350g,170.9,170.9,170.9,170.9,160.5,160.5,160.5,170.9,,,,
Processed Milk - Powdered,Bear Brand Fortified Powdered Milk Drink,320g,103.95,103.95,110.0,109.5,109.5,109.5,109.5,109.5,117.5,116.0,119.5,119.5
Processed Milk - Powdered,Birch Tree Full Cream Milk,300g,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,139.5,146.0,146.0
Processed Milk - Powdered,Jersey Fortified Instant Powdered Milk Drink,300g,82.25,85.1,85.25,85.25,88.25,88.5,88.5,88.5,88.5,88.5,88.5,88.5
Processed Milk - Powdered,Anchor Family Milk,140g,47.6,47.6,47.6,,,,,,,,,
Processed Milk - Powdered,Milk Magic Instant Full Cream Milk Powder,350g,101.35,129.55,129.55,139.5,,154.0,162.5,154.0,162.5,162.5,162.5,162.5
Coffee,Blend 45 (Soluble Coffee),25g,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,18.5,18.5,18.5
Coffee,Blend 45 (Soluble Coffee),50g,33.5,33.5,33.5,33.5,32.75,,,,,,,
Coffee,Great Taste Granules Strong (Concentrated Coffee Powder),25g,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,21.0,21.0,21.0,21.0
Coffee,Great Taste Granules Strong (Concentrated Coffee Powder),50g,38.75,38.75,38.75,38.75,38.75,38.75,38.75,38.75,41.0,41.0,41.0,41.0
Coffee,Great Taste Premium Classic (Coffee Powder),25g,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,19.75,19.75,19.75,19.75
Coffee,Great Taste Premium Classic (Coffee Powder),50g,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,38.5,38.5,38.5,38.5
Coffee,Nescafe Classic,25g,19.7,19.7,19.7,19.7,19.7,20.25,20.25,20.25,20.25,21.5,21.5,21.5
Coffee,Nescafe Classic,50g,39.4,39.4,39.4,39.4,39.4,40.5,40.5,40.5,40.5,43.25,43.25,43.25
Coffee,Blend 45 (Soluble Coffee),100g,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5
Coffee,Cafe Puro (100% Pure Instant Coffee),25g,20.0,17.75,17.75,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,18.8
Coffee,Cafe Puro (100% Pure Instant Coffee),50g,35.5,35.5,35.5,37.0,37.0,37.0,37.0,37.0,37.0,40.0,40.0,40.0
Coffee,Cafe Puro (100% Pure Instant Coffee),100g,70.5,70.5,70.5,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
Coffee,Great Taste Granules Strong (Concentrated Coffee Powder),100g,74.5,74.5,76.5,76.5,76.5,76.5,76.5,76.5,76.5,77.5,77.5,77.5
Coffee,Great Taste Premium Classic (Coffee Powder),100g,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,76.5,76.5,76.5,76.5
Coffee,Nescafe Classic,100g,76.8,76.8,78.5,78.5,78.5,77.75,77.75,77.75,78.5,79.5,79.5,79.5
Coffee,Nescafe Original,28g,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.75,6.75,6.75,6.75
Coffee,Great Taste Original 3-in-1 Coffee Mix - Twin Pack,33g,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.03,8.25,8.25,8.25
Coffee,San Mig Super Coffee Original 3 in 1 Coffee Mix,20g,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.05,6.05,6.05
Coffee,Kopiko Black 3 in One,30g,7.6,8.0,8.0,8.0,8.0,8.0,8.0,7.25,7.25,7.25,7.25,7.25
Coffee,Cafe Puro 3 in 1 Instant Coffee Mix,17g,4.25,4.25,4.3,4.3,,,4.3,,,4.3,4.3,4.3
Coffee,Blend 45 3-in-1 Coffee Mix,18g,,,,,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
Laundry Soap,Surf Oxybubbles - Kalamansi,360g,21.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
Laundry Soap,Surf Oxybubbles - Tawas Puti,360g,21.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
Laundry Soap,Surf Oxybubbles - Blue,360g,18.5,18.5,18.5,21.0,21.0,21.0,21.75,21.75,21.75,21.75,21.75,21.75
Laundry Soap,Speed Bar Power Whitener (Luzon),360g,20.0,20.0,20.0,20.0,20.0,20.5,20.5,20.5,20.5,20.5,20.5,20.5
Laundry Soap,Speed Bar Kalamansi (Luzon),360g,20.0,20.0,20.0,20.0,20.0,20.5,20.5,20.5,20.5,20.5,20.5,20.5
Laundry Soap,Champion Supra Power Blue Original,390g,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,20.0,20.0,21.0,21.0
Laundry Soap,Bonux (Kalamansi Zest),380g,21.0,20.3,20.3,20.3,19.85,19.85,19.85,19.85,,,,
Laundry Soap,Pride (Power Blue),400g,21.5,21.5,21.5,21.5,22.0,22.0,22.0,22.0,22.0,22.5,22.5,22.5
Laundry Soap,Pride (Fabric Conditioner Sakura Blossom),400g,21.5,21.5,21.5,21.5,22.25,22.25,22.25,22.25,22.25,23.0,23.0,23.0
Laundry Soap,Tide Ultra Original Scent,380g,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
