commodity,brand,specification,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Bottled Water - Distilled,Absolute,350ml,12,12,12,12,12,11.4,12,12,12,12,12,12
Bottled Water - Distilled,Absolute,500ml,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25,16.25
Bottled Water - Distilled,Absolute,1L,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,25
Bottled Water - Distilled,Absolute,6L,82,82,82,82,82,82,82,82,82,82,82,82
Bottled Water - Distilled,SM Bonus,325ml,6,6,6,6,6,6,6,6,6,6,6,6
Bottled Water - Distilled,SM Bonus,500ml,8,8,8,8,8,8,8,8,8,8,8,8
Bottled Water - Distilled,Wilkins,330mL,11,11,11,11,11,11,12,12,12,12,12,12
Bottled Water - Distilled,Wilkins,500mL,17,17,17,17,17,17,17,17,17,17,17,17
Bottled Water - Distilled,Wilkins,1L,25,25,25,25,25,25,25,25,25,25,25,25
Bottled Water - Distilled,Wilkins,7L,88,88,88,88,88,88,88,88,88,88,83,83
Bottled Water - Mineral,Hidden Spring,330mL,8.8,8.8,8.8,8.8,8.8,,8.8,8.8,8.8,,,
Bottled Water - Mineral,Hidden Spring,500mL,12.1,12.1,12.1,,12.1,,,12.1,,,,
Bottled Water - Mineral,Refresh,350ml,6,6,6,6,6,6,6,6,6,6,6,6
Bottled Water - Mineral,Refresh,500ml,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Bottled Water - Mineral,Robinsons Mall,500ml,,,,,,10.45,10.45,10.45,10.45,10.45,,10.45
Bottled Water - Mineral,Robinsons Supersavers Nature's Pure,330ml,7.15,7.15,7.15,7.15,,7.15,7.15,7.15,7.15,7.15,7.15,
Bottled Water - Mineral,Robinsons Supersavers Nature's Pure,500ml,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7
Bottled Water - Mineral,Summit,350ml,11,11,11,11,11,8.6,11,11,11,11,11,8.6
Bottled Water - Mineral,Summit,500ml,13.5,14.5,14.5,14.5,14.5,14.5,14.5,13.5,13.5,13.5,13.5,11
Bottled Water - Mineral,Summit,1L,18.5,18.5,18.5,21.5,22.5,18.5,18.5,21.5,21.5,21.5,18.5,18.5
Bottled Water - Mineral,Summit,6L,72,72,72,72,72,72,72,72,72,72,72,68
Bottled Water - Purified,Natures,500ml,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
Bottled Water - Purified,Natures,1L,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
Bottled Water - Purified,Wilkins,500ml,11,11,11,11,11,11,11,11,11,11,11,11
Bottled Water - Purified,Wilkins,1L,18,18,18,18,18,18,18,18,18,18,18,18
Bread - Loaf,Gardenia,400g,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5
Bread - Loaf,Gardenia ,600g,85,85,85,85,85,85,85,85,85,85,85,85
Bread - Loaf,Marby ,450g,55.75,55.75,55.75,55.75,55.75,55.75,55.75,55.75,55.75,55.75,55.75,55.75
Bread - Loaf,Marby,600g,79.75,79.75,79.75,79.75,79.75,79.75,79.75,79.75,79.75,79.75,78,78
Bread - Loaf,Pinoy ,450g,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5
Bread - Loaf,SM Bonus,450g,47.5,47.5,,46,46,46,46,46,46,46,46,46
Bread - Pandesal,Coco Pinoy,250g,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
Bread - Pandesal,Gardenia,300g,54,54,54,54,54,54,54,54,54,54,54,54
Bread - Pandesal,Pinoy ,250g,25,25,25,25,25,25,25,25,25,25,25,25
Candles,5 Star,25pcs./pack,,106,106,106,106,106,106,106,106,106,106,106
Candles,5 Star,5pcs./pack,,,137.9,137.5,,,137.75,137.75,137.9,,,
Candles,5 Star,4ocs./pack,,,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,
Candles,5 Star,2pcs./pack,,108,108,,108,,108,,,,108,108
Candles,5 Star,20pcs./pack,49.8,49.8,49.8,49.8,49.8,,49.8,49.8,49.8,49.8,,
Candles,Export ,20pcs./pack,,,,,,,32,,,,,
Candles,Export ,20pcs./pack,,,,,,,69.75,,,,,
Candles,Export ,10pcs./pack,,,,,,,59.75,,67,,,
Candles,Export ,8pcs./pack,,,,72.75,,,72.75,,61,,,
Candles,Export ,4pcs./pack,,,,,,,,,36.25,,,
Candles,Export ,4pcs./pack,,,,,48.5,,39.75,48.5,48.5,,,
Candles,Export ,4pcs./pack,,,,,97,,97,97,97,,,
Candles,Export ,4pcs./pack,,,,,121.5,,,121.5,,,,
Candles,Export ,20pcs./pack,,,,60.5,,,49.75,,,,,
Candles,Export ,12pcs./pack,,,,60.5,,,49.75,,60.5,,,
Candles,Export ,10pcs./pack,,,,72.75,,,72.75,,72.75,,,59.75
Candles,Export ,12pcs./pack,,,,,55.25,,,54.7,,,,
Candles,Export ,12pcs./pack,,,,,55.25,,,,,,,
Candles,Export ,4pcs./pack,,,,,,,54.5,,,,,
Candles,Export ,6pcs./pack,,,,,85,,,85,,,,
Candles,Export ,6pcs./pack,,,,,85,,,,,,,
Candles,Liwanag,20pcs./pack,62.25,62.25,62.25,64.75,62.25,64.75,64.75,64.75,62.25,64.75,58.35,64.75
Candles,Liwanag,20pcs./pack,83,83,83,87.75,88,87.75,87.75,87.75,87.75,87.75,87.75,87.75
Candles,Liwanag,4pcs./pack,44,44,44,45,44,45,45,45,45,45,45,45
Candles,Liwanag,4pcs./pack,76,76,72,74.75,72,74.75,74.75,74.75,74.75,74.75,76,72
Candles,Liwanag,2pcs./pack,175,177.5,158.3,177.5,177.5,177.5,177.5,177.5,177.5,177.5,177.5,177.5
Candles,Manila Wax,10 pcs./pack,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75
Candles,Manila Wax,20pcs./pack,63.75,63.75,63.75,63.75,63.75,53.25,63.75,63.75,63.75,63.75,63.75,63.75
Candles,Manila Wax,20pcs./pack,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75
Candles,Manila Wax,4pcs./pack,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75,53.75
Candles,Manila Wax,2pcs./pack,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75
