commodity,brand,specification,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Candles,Manila Wax,6 pcs./pack,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,,81.75
Candles,Manila Wax,6 pcs./pack,,,81.75,81.75,,,81.75,,,,,
Candles,Manila Wax,6 pcs./pack,71,71,71,71,71,71,71,71,71,71,,71
Candles,Manila Wax,6 pcs./pack,,,71,71,,,71,,,,,
Candles,Manila Wax,6 pcs./pack,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75,58.75
Candles,Manila Wax,6 pcs./pack,,,58.75,,58.75,,,,,,,
Canned Sardines in tomato sauce,Atami,155g,,18.5,18.5,18.5,18.56,20.5,20.5,20.5,20.5,20.5,20.5,20.5
Canned Sardines in tomato sauce,Atami,155g,,,,,20.5,,,,,,,
Canned Sardines in tomato sauce,Family's,155g,22.5,23,23,23,23,23,23,23,23,23,23,23
Canned Sardines in tomato sauce,Family's,155g,23.3,23.8,23.8,23.8,23.25,23.25,23.7,23.7,23.7,23.7,23.7,23.7
Canned Sardines in tomato sauce,Gold Cup,155g,,,,,,20.55,,,,,,
Canned Sardines in tomato sauce,Hakata,155g,22,22,20.8,22.45,22.45,22.45,22.45,22.45,22.45,22.45,22.45,23.75
Canned Sardines in tomato sauce,Hakone,155g,,22.5,22.75,22.75,,22.75,22.75,24,22.75,22.5,23,23
Canned Sardines in tomato sauce,King Cup,155g,21.1,21.1,21.1,21.75,21.4,21.75,21.75,21.75,21.75,21.75,21.75,21.75
Canned Sardines in tomato sauce,Ligo,155g,23.9,25.1,25.1,25.1,25.1,24.75,25.1,25.5,24.5,24.5,24.5,24.5
Canned Sardines in tomato sauce,Lucky 7,155g,17.25,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75
Canned Sardines in tomato sauce,Master,155g,26,26,23.5,23.5,23.5,23.5,23.5,23.95,23.45,24.75,24.25,24.65
Canned Sardines in tomato sauce,Mega,155g,24,24,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75
Canned Sardines in tomato sauce,Mikado,155g,,,,,,,,21.25,20.5,,,
Canned Sardines in tomato sauce,Rose Bowl,155g,24,24,24,22.75,22.25,24,24,22.15,22.15,22.75,22.75,23
Canned Sardines in tomato sauce,Senorita,155g,,,24.25,25.5,25.5,23.7,25.25,25.25,24.9,,,
Canned Sardines in tomato sauce,SM Bonus,155g,21.95,22,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95,22.95
Canned Sardines in tomato sauce,Swan,155g,,23.5,23.2,24.85,23.2,,25,22.75,24.85,22.75,22.75,22.8
Canned Sardines in tomato sauce,Uni-Pak,155g,22,22,22,24.25,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
Canned Sardines in tomato sauce,Young's Town,155g,23.25,23.25,23.25,23.25,22.8,23.25,22.8,22.8,23.25,22.8,22.8,22.8
Coffee,Great Taste,25g,21,21,21,21,21,21,21,21,21,21,21,21
Coffee,Great Taste,50g,41,41,41,41,41,41,41,41,41,41,41,38.75
Coffee,Great Taste,100g,84.5,84.5,77.6,84.5,84.5,84.5,84.5,77.6,77.6,84.5,79,79
Coffee,Great Taste,25g,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.75
Coffee,Great Taste,50g,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5
Coffee,Great Taste,100g,72.95,72.95,72.95,78.5,76.5,78.5,78.5,78.5,78.5,78.5,72.95,72.95
Coffee,Nescafe,23g,21.5,20,21,21,21,21,21,20,20,22,20,22
Coffee,Nescafe,46g,43.25,40,41,40,40,40,40,40,40,42.5,44,44
Coffee,Nescafe,92g,79.5,79.5,78.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,88,87.5
Coffee ,Blend 45,100g,70,70,70,70,70,70,70,70,70,70,70,70
Coffee ,Blend 45,25g,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
Coffee  ,Cafe Puro,25g,6.5,6.5,22.5,22.5,19.4,22.5,22.5,22.5,22.5,22.5,19.4,22
Coffee  ,Cafe Puro,50g,22.5,39.55,39.55,42.5,42.5,42.5,42.5,42.5,42.5,42.5,40.45,42
Coffee  ,Cafe Puro,100g,39.55,39.55,78,84.5,78,84.5,84.5,84.5,84.5,84.5,80.4,82.25
Coffee 3-in-1,Kopiko,30g,78,78,7.75,8,8,8,8,7.5,7.5,7.5,8,8
Coffee 3-in-1,Nescafe,26g,7.25,7.25,7.25,7.25,7.25,7.05,7.75,7.25,7.25,7.75,7.75,7.75
Coffee 3-in-1 ,Blend 45,18g,4.1,4.1,,4.1,4.1,3.95,4,4.1,4.1,4.1,4.1,4.1
Coffee 3-in-1 ,Great Taste,33g,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Coffee 3-in-1 ,San Mig,20g,,8.25,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Instant Noodles ,Ho-Mi,55g,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.5,8.4
Instant Noodles ,Ho-Mi,55g,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4
Instant Noodles ,Lucky Me!,55g,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
Instant Noodles ,Lucky Me!,55g,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
Instant Noodles ,Nissin,55g,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65
Instant Noodles ,Nissin,55g,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65,10.65
Instant Noodles ,Payless,55g,7,7,7,7,7,7,7,7,7,7,7,7
Instant Noodles ,Payless ,55g,7,7,7,7,7,7,7,7,7,7,7,7
Instant Noodles ,Quick Chow,55g,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Instant Noodles ,Quick Chow,55g,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Laundry Soap,Champion,370g,23,23,23,23,23,23,23,23,23,23,23,23
Laundry Soap,Champion,370g,23,23,23,23,23,23,23,23,23,23,23,23
Laundry Soap,Tide,380g,39,39,40,39,40,40.75,37.25,40,40,40,40,40
Processed Milk - Condensada,Angel,380g,,53.15,53.15,58.5,53.15,53.15,53,53.15,53.15,58.5,56.25,57.5
Processed Milk - Condensada,Doreen,390ml,,,,,,49.3,49.3,49.3,49.3,49.3,49.3,49.3
Processed Milk - Condensada,Goolait ,390g,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,42.2,42.95,42
Processed Milk - Condensada,Jolly Cow,390ml,,52,44.5,50,44.5,50,50,44.5,44.5,44.5,44.5,50
Processed Milk - Condensed,Cow Bell,374g,43.95,43.95,43.95,45,45,45,45,45,45,45,39,39
Processed Milk - Condensed,Jersey,390g,42,42,42,42,42,42,42,42,42,44.5,42,44.5
Processed Milk - Condensed,Nestle,300ml,66.5,64.3,64.3,66.5,64.3,66.5,66.5,64.5,64.3,66.5,69,71.95
Processed Milk - Condensed,Nestle,300ml,,93.95,93.95,93.95,93.95,93.95,105,105,105,105,105,105
Processed Milk - Evaporada,Angel,365ml,28.7,28.7,28.7,28.9,31,29.15,31.25,,,,,
Processed Milk - Evaporada,Angel,410ml,31.75,31.75,31.75,34.95,31.75,31.75,31.75,31.75,31.75,31.75,31.75,31.75
Processed Milk - Evaporada,Jersey,370ml,34.95,34.95,31,31.5,34.95,31,34.95,31,31,34.95,31.75,31.75
Processed Milk - Evaporated,Cow Bell,360ml,29.7,29.7,29.7,29.7,29.7,29.7,29.7,30,30,30,29.7,30
Processed Milk - Powdered,Alaska,300g,95,100,100,100,95,100,100,100,100,95,95,95
Processed Milk - Powdered,Bear Brand,135g,,50,50,50,50,50,50,50,50,50,50,50
Processed Milk - Powdered,Birch Tree,150g,,63.45,63.45,63.45,63.45,63.45,70.75,70.75,70.75,70.75,70.75,70.75
Processed Milk - Powdered,Birch Tree,300g,140.2,140.2,140.2,154.5,153.25,144.45,144.45,144.45,144.45,159.5,149.5,149.5
Processed Milk - Powdered,Jersey,300g,92.5,92.5,92.5,96.25,96.25,96.25,96.25,94.5,96.25,96.25,96.25,96.25
Processed Milk - Powdered,Milk Magic ,350g,,162.5,,155,155,162.5,162.5,162.5,155,155,155,155
Salt - Iodized,Fidel,500g,19.5,19.5,21.25,21.25,21.25,21,21.25,21.25,21.25,21.25,21.25,21.25
Salt - Iodized,Fidel,250g,11.75,11.25,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75,12.75
Salt - Iodized,Fidel,500g,22.75,22.75,25,25,25,25,25,25,25,25,25,25
Salt - Iodized,Fidel,250g,10.25,10.25,11.75,11.75,11.75,11.75,11.75,11.5,11.5,11.75,11.75,11.75
Salt - Iodized,Fidel,500g,21,21,23,23,23,23,23,23,23,23,23,23
Salt - Iodized,Lasap,100g,,,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
Salt - Iodized,Lasap,1kg,29,29,29,29,29,29,29,29,29,29,29,28.5
Salt - Iodized,Lasap,250g,9,9,9,9,9,9,9,9,9,9,9,9
Salt - Iodized,Lasap,500g,16,16,16,16,16,16,16,16,16,16,16,16
Salt - Iodized,Mc Cormick,150g,13.5,13.5,13.25,13.5,13.25,13.5,13.5,13.25,13.25,13.5,13.25,13.25
Salt - Iodized,Mc Cormick,1kg,54,50,50,54,50,50,54,54,54,54,56.5,54
Salt - Iodized,Mc Cormick,500g,32.5,32,32,32,32,32.5,28.25,32,28.25,32.5,32,31
Salt - Iodized Rock,Fidel,250g,9.75,10,11,11,11,11,11,11,11,11,11,11
Salt - Iodized Rock,Lasap,1kg,23,23,23,23,23,23,23,23,23,23,23,23
Salt - Iodized Rock,Lasap,250g,7,7,7,7,7,7,7,7,7,7,7,7
Salt - Iodized Rock,Lasap,500g,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
Processed Milk - Evaporated,Angel,410ml,,67.35,79.5,98.75,79.5,44,44,44,44,44,44,44
Bottled Water - Distilled,SM Bonus,6.6L,,,,97,50,50,50,50,50,50,50,50
Candles,Liwanag,2 pcs. / pack,,,73.95,,79.5,98.75,79.5,79.5,79.5,98.75,79.5,79.5
Candles,Liwanag,6 pcs. / pack,,,79.6,97.75,78.75,,,,,,,
Candles,Liwanag,12 pcs. / pack,,,24.85,,64.4,,102,78.75,78.75,104,,
Canned Sardines in tomato sauce,555,"{""weight"":""155g""}",,23.75,23.25,23.75,23.75,24.7,24.7,25.25,24,24,24,24
Canned Sardines in tomato sauce,Amigo,"{""weight"":""155g""}",,,22.75,22.75,21.75,,,,,,,
Canned Sardines in tomato sauce,Master,"{""weight"":""155g""}",,,21.95,24.75,23.65,23.75,23.75,23.75,23.75,23.75,23.75,23.75
Canned Sardines in tomato sauce,Saba,"{""weight"":""155g""}",,24,22.55,23,23.25,22.75,22.75,22.75,22.75,21.3,21.75,21.75
Canned Sardines in tomato sauce,Sallenas,"{""weight"":""155g""}",,22.95,22.5,22.5,22.5,,22.25,22.5,24.75,22.4,,22.5
Canned Sardines in tomato sauce,Young's Town,"{""weight"":""155g""}",,,26,26,24,23,23,23,23,23,23,23
Laundry Soap,Champion,370g,,22.75,22.75,22.75,22.75,22.5,22.5,22.5,22.5,22.5,22.5,22.5
Laundry Soap,Pride,370g,,20,20,20,20,26,26,26,26,26,26,26
Laundry Soap,Pride,370g,,21,21,21,21,22.75,22.75,22.75,22.75,22.75,22.75,22.75
Laundry Soap,Speed,330g,,21,21,21,21,20,20,20,20,20,20,20
Laundry Soap,Speed,330g,,21,21,21,21,21,21,21,21,21,21,21
Laundry Soap,Speed,330g,,21.75,21.75,21.75,21.75,21,21,21,21,21,21,21
Laundry Soap,Speed,330g,,23,23,23,23,21,21,21,21,21,21,21
Laundry Soap,Surf,360g,,23,23,23,23,21.75,21.75,21.75,21.75,21.75,21.75,21.75
Laundry Soap,Surf,360g,,40,39,40,40,23,23,23,23,23,23,23
Laundry Soap,Surf,360g,,,,,22,22,23,23,23,23,23,23
Laundry Soap,Tide,380g,,35,35,35,35,39.75,39.75,39.75,39.75,39.75,40,41
Processed Milk - Condensada,Alaska,160ml,,,38.1,,35,35,35,35,35,35,35,35
Processed Milk - Condensada,Alaska,370g,,58.75,58.75,59.5,52.5,52.5,56,56,56,56,52.5,55
Processed Milk - Condensada,Liberty ,160ml,,49,49,49,44.3,,44,,,,,
Processed Milk - Condensada,Liberty ,374g,,76,68.4,68.4,68.4,58.75,59.5,59.5,59.5,59.5,59.5,59.5
Processed Milk - Condensed,Alaska,160ml,,19,19,19,19,49,46.75,44.3,44.3,44.3,49,49
Processed Milk - Condensed,Alaska,377g,,35.25,35.25,34.95,33.25,68.4,68.4,68.4,68.4,68.4,70.25,70.25
Processed Milk - Evaporada,Alaska,140ml,,28.2,28.2,28.2,28.2,19,19,19,19,19,19,19
Processed Milk - Evaporada,Alaska,360ml,,53.75,53.75,53.75,53.75,33.25,34.95,34.95,34.95,34.95,33.25,34.95
Processed Milk - Evaporated,Alaska,140ml,,39,38.2,41,41,28.2,28.2,28.2,28.2,28.2,31,28.2
Processed Milk - Evaporated,Alaska,360ml,,69,69,69,69,53.75,53.75,58.25,58.25,53.75,53.75,56.25
Processed Milk - Evaporated,Alpine,140ml,,44,44,44,44,38.2,39,41,41,41,39,41
Processed Milk - Evaporated,Alpine,360ml,,,107.85,109.5,110,69,69,69,69,69,69,69
Processed Milk - Powdered,Alaska,150g,,50,31.7,31.7,31.7,44,44,44,44,44,44,44
Processed Milk - Powdered,Bear Brand,300g,,111,39,39,107.85,109.5,109.5,109.5,109.5,109.5,109.5,108
Salt - Iodized,Fidel,"{""weight"":""1kg""}",,64.75,36.75,36.75,35,32.5,31.7,32.5,32.5,32.5,31.7,31.7
Salt - Iodized,Fidel,"{""weight"":""1kg""}",,33.25,18.5,21.7,39,42,39,39,39,39,42,39
Salt - Iodized,Fidel,"{""weight"":""1kg""}",,39,18.5,21.8,35,35.5,35.5,35.5,35.5,35.5,35.5,35.5
Laundry Soap,Budget,330g,,36.75,,31,31.5,18.5,18.9,18.5,19.5,18.5,18.5,18.7
Laundry Soap,Budget,330g,,,,,,18.5,18.5,18.5,18.5,18.5,18.5,18.5
Processed Milk - Evaporada,Angel,360ml,,,,,29.15,28.55,29.15,29.15,29.15,29.15,29.15,29.15
Laundry Soap,Budget,330g,,,,,,18.5,18.5,18.5,18.5,18.5,18.5,18.5
Laundry Soap,Budget,330g,,,,,,20.5,18.9,18.5,19.5,18.5,,18.5
Laundry Soap,Budget,330g,,,,,,18.5,18.5,18.5,19.5,18.5,18.5,18.5
PRODUCT CATEGORY,BRAND NAME,"SPECIFICATIONS
(size, unit, weight, height, etc.)",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Battery,Energizer,4pcs/pack,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5,196.5
Battery,Eveready,2pcs/pack,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75
Canned Beef - Beef Loaf,Argentina,150g,21.2,20,21,20,20,20,20,20,20,20,20,20
Canned Beef - Beef Loaf,Argentina,170g,24,24,24,24,24,24,24,24,24,24,24,24
Canned Beef - Beef Loaf,Bingo,150g,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
Canned Beef - Beef Loaf,CDO,150g,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75
Canned Beef - Beef Loaf,El Rancho,155g,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,17.25,18,17.75,18
Canned Beef - Beef Loaf,Winner,150g,,17.25,22.25,,,,22.25,22.25,22.25,31,22.25,23.1
Canned Beef - Corned Beef,Argentina,150g,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,35.25,34
Canned Beef - Corned Beef,Argentina,175g,40.25,40.25,40.25,40.25,40.75,40.25,40.25,40.25,40.25,40.25,40.5,40.5
Canned Beef - Corned Beef,Bingo,150g,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21,21,21,21,21
Canned Beef - Corned Beef,El Rancho,150g,27.5,27.5,27.5,27.5,27.5,27.5,27.5,,,,,
Canned Beef - Corned Beef,Purefoods,150g,79,79,79,79,79,79,79,79,79,79,79,79
Canned Beef - Corned Beef,Star,175g,39.5,39.5,39.5,39.5,39.5,41.5,41.5,42,41.5,42,41.5,41.5
Canned Beef - Corned Beef,Star,150g,34,34,34,34,34,34,34,34,34,34,34,34
Canned Beef - Corned Beef,Young's Town,150g,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25,34.25
Canned Pork - Luncheon Meat,CDO,165g,38,39,38,38,38,38,38,36.5,36.5,36.5,36.5,36.5
Canned Pork - Luncheon Meat,La Filipina,190g,78.85,78.85,78.85,78.85,78.85,78.85,78.85,78.85,78.85,78.85,78.85,78.85
Canned Pork - Luncheon Meat,Liberty,165g,33.35,33.35,33.35,,,,33,33,,,,33
Canned Pork - Luncheon Meat,Purefoods,165g,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5
Canned Pork - Meat Loaf,Argentina,170g,25,25,25,25,25,25,23.5,23.5,23.5,23.5,23.5,23.5
Canned Pork - Meat Loaf,Bingo,150g,20,20,20,20,20,20,20,20,20,20,21.25,20
Canned Pork - Meat Loaf,CDO,150g,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75,20.75
Canned Pork - Meat Loaf,Lucky 7,150g,20.75,20.75,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
Canned Pork - Meat Loaf,Star,150g,22.5,20,20,22.5,20,20,20,20,20,20,21.25,20
Canned Pork - Meat Loaf,Winner,150g,,17,17,17,17,17,17,17,17,18,18,18
Canned Pork - Meat Loaf,Young's Town,155g,21.25,21.25,21.25,26.3,26.3,,22.25,24.15,,,,
Condiments - Patis,Datu Puti,350ml,25.5,25.5,25.5,26.25,26.25,26.25,26.25,26.25,26.25,26,26,26.25
Condiments - Patis,Lorins,350ml,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,21.25,20.8,21.25
Condiments - Patis,Lorins,350ml,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25,23.25
Condiments - Patis,Lorins,150ml,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
Condiments - Patis,Marca Pina,350ml,25,25.2,25.2,25,24.75,25,25,26.55,25.25,,,
Condiments - Patis,Nelicom,350ml,,,28.25,28.25,28.25,28.25,28.25,,28.25,,,
Condiments - Patis,Silver Swan,350ml,23.75,23.75,23.75,23.75,23.75,23.75,23.75,24.5,24.5,24.5,24.5,24.5
Condiments - Soy Sauce,Datu Puti,350ml,19,19,19,19,19,19,19,19,19,19,19,19
Condiments - Soy Sauce,Datu Puti,385ml,22,22,22,22,22,22,22,22,22,22,22,22
Condiments - Soy Sauce,Marca Pina,350ml,20,21,21,21,20,21,21,21,21,21,21,21
Condiments - Soy Sauce,Marca Pina,385ml,22.5,22.5,22.5,22.5,22,22.5,22.5,22.5,22.5,22.5,22.5,22.5
Condiments - Soy Sauce,Silver Swan,200ml,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.65,10.5
Condiments - Soy Sauce,Silver Swan,350ml,19.25,19.25,19.25,20,20.25,19.25,20,20,20,20,20.75,20
Condiments - Vinegar,Marca Pina,350ml,,17.4,17.4,16.75,17.35,16.85,16.45,17.95,17.25,16.75,17.95,17.35
Condiments - Vinegar,Marca Pina,385ml,19.5,19.5,19.5,19.5,18.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
Condiments - Vinegar,Silver Swan,350ml,17.5,17.5,17.5,17.5,16.5,16.5,17,18,18,16.5,18,18
Condiments - Vinegar,Silver Swan,200ml,7.5,7.5,7.9,7.5,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75
Toilet Soap,Green Cross,125g,34,34,34,34,34,34,34,34,37.25,34,34,37.25
Toilet Soap,Green Cross,55g,13.75,13.75,13.75,13.75,13.75,13.7,13.75,15,15,15,13.75,15
Toilet Soap,Green Cross,85g,23.25,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5
Toilet Soap,Johnson's and Johnson's,100g,33,33,33,36,34.75,34,33,41,,,,41
Toilet Soap,Johnson's and Johnson's,150g,48,53.5,51,,51,52.75,48,49.25,,,,60
Toilet Soap,Johnson's and Johnson's,60g,20,22.25,20.75,20.5,,20.5,20.5,21.25,20.75,,,25
