commodity,brand,specification,jan,feb
Condiments - Soy Sauce,Marca Pina,200ml,12.5,12.2
Condiments - Soy Sauce,Marca Pina,350ml,21,21
Condiments - Soy Sauce,Marca Pina,385ml,23.5,23.5
Condiments - Soy Sauce,Marca Pina,500ml,39.5,39.5
Condiments - Soy Sauce,Select,200ml,0,9.65
Condiments - Soy Sauce,Silver Swan,100ml,6.8,6.8
Condiments - Soy Sauce,Silver Swan,200ml,11,10.5
Condiments - Soy Sauce,Silver Swan,350ml,20.75,20.75
Condiments - Soy Sauce,Silver Swan,500ml,29.5,28.5
Condiments - Soy Sauce,Silver Swan,1L,53.5,53.5
Condiments - Vinegar,Datu Puti,200ml,7.7,7.7
Condiments - Vinegar,Datu Puti,350ml,18,18
Condiments - Vinegar,Datu Puti,350ml,16,16
Condiments - Vinegar,Datu Puti,1L,41.25,41.25
Condiments - Vinegar,Datu Puti,1L,44,44
Condiments - Vinegar,Marca Pina,200ml,9.5,9.5
Condiments - Vinegar,Marca Pina,350ml,18,18
Condiments - Vinegar,Marca Pina,385ml,20,20
Condiments - Vinegar,Marca Pina,500ml,27,27
Condiments - Vinegar,Marca Pina,1L,42.5,42.5
Condiments - Vinegar,Silver Swan,350ml,0,
Condiments - Vinegar,Silver Swan,350ml,18,18
Condiments - Vinegar,Silver Swan,200ml,7.75,7.4
Condiments - Vinegar,Silver Swan,1L,39.5,39.5
Condiments - Vinegar,SM Bonus,350ml,13.75,13.75
Condiments - Vinegar,SM Bonus,1L,33.75,33.75
Condiments - Vinegar,SM Bonus,1L,32,32
Toilet Soap,Antabax,110g,35,35
Toilet Soap,Antabax,110g,35,35
Toilet Soap,Antabax,110g,35,35
Toilet Soap,Antabax,110g,35,35
Toilet Soap,Bioderm,90g,36.75,36.75
Toilet Soap,Bioderm,135g,42,42
Toilet Soap,Bioderm,90g,34.75,34.75
Toilet Soap,Bioderm,135g,41,41
Toilet Soap,Bioderm,90g,34.75,31
Toilet Soap,Bioderm,135g,41,41
Toilet Soap,Bioderm,90g,31,31
Toilet Soap,Bioderm,135g,46.75,46.75
Toilet Soap,Green Cross,55g,15,15
Toilet Soap,Green Cross,85g,25.75,25.75
Toilet Soap,Green Cross,125g,37.25,37.25
Toilet Soap,Green Cross,55g,16,16
Toilet Soap,Green Cross,85g,29.4,28
Toilet Soap,Green Cross,125g,37.75,37.75
Toilet Soap,Green Cross,55g,16,16
Toilet Soap,Green Cross,85g,28,28
Toilet Soap,Green Cross,125g,37.75,37.75
Toilet Soap,Green Cross,55g,16,16
Toilet Soap,Green Cross,85g,28,28
Toilet Soap,Green Cross,125g,37.75,37.75
Toilet Soap,Hygienix,125g,40,40
Toilet Soap,Palmolive,55g,15.5,15.5
Toilet Soap,Palmolive,115g,41,41
Toilet Soap,Safeguard,115g,50,50
Toilet Soap,Safeguard,125g,0,
Toilet Soap,Safeguard,160g,67,69.75
Toilet Soap,Safeguard,60g,20,20
Toilet Soap,Safeguard,125g,52,52
Toilet Soap,Safeguard,160g,0,
Toilet Soap,Safeguard,115g,52,52
Toilet Soap,Safeguard,125g,0,
Toilet Soap,Safeguard,160g,69.75,69.75
Toilet Soap,Safeguard,55g,22,22
Toilet Soap,Safeguard,82g,29.25,29.25
Toilet Soap,Safeguard,115g,52,52
Toilet Soap,Safeguard,160g,69.75,69.75
Toilet Soap,Shield,55g,16.75,16.75
Toilet Soap,Shield,120g,33.75,33.75
Toilet Soap,Shield,55g,16.75,16.75
Toilet Soap,Shield,120g,33.75,33.75
Toilet Soap,Shield,55g,15,14.25
Toilet Soap,Shield,120g,33.75,33.75
Hard Flour,Atlantic Grains,25kg/bag,0,
Hard Flour,Baron,25kg/bag,1250,1250
Hard Flour,El Superior,25kg/bag,0,
Hard Flour,General,25kg/bag,0,
Hard Flour,Globe,25kg/bag,980,980
Hard Flour,Gold Fish,25kg/bag,0,
Hard Flour,Golden Wheat,25kg/bag,0,1400
Hard Flour,Harina de Pandesal,25kg/bag,0,
Hard Flour,King,25kg/bag,925,925
Hard Flour,Penguine,25kg/bag,750,750
Hard Flour,Washington Gold,25kg/bag,0,
Hard Flour,Wellington,25kg/bag,1000,980
Hard Flour,Wooden Spoon,25kg/bag,0,1400
Soft Flour,Cattleya,25kg/bag,0,
Soft Flour,Countess,25kg/bag,895,895
Soft Flour,Gold Key (plastic),25kg/bag,0,960
Soft Flour,Red Dragon,25kg/bag,880,880
Hard Flour,Kaibigan,25kg/bag,0,
Hard Flour,Dynamic,25kg/bag,0,
Canned Beef - Corned Beef,Ligo,150g,30.5,30.5
Canned Beef - Corned Beef,Star,150g,34,34
Canned Beef - Corned Beef,Star,175g,39.5,39.5
Condiments - Patis,Datu Puti,150ml,13.4,13.4
Condiments - Patis,Marca Pina,350ml,26.5,26.5
Condiments - Patis,Tentay,350ml,24.2,23.5
Condiments - Soy Sauce,Lorins,350ml,21.45,21.45
Condiments - Soy Sauce,Silver Swan,385ml,23,22.25
Condiments - Vinegar,Datu Puti,385ml,19.5,19.5
Condiments - Vinegar,Lorins,350ml,0,17.25
Condiments - Vinegar,Silver Swan,385ml,19,18.25
Toilet Soap,Bioderm,60g,17.25,17.25
Toilet Soap,Bioderm,60g,17,17
Toilet Soap,Bioderm,60g,17,17
Toilet Soap,Bioderm,60g,17.35,17.35
Toilet Soap,Johnson's and Johnson's,120g,52.25,52.25
Toilet Soap,Johnson's and Johnson's,50g,24,24
Toilet Soap,Johnson's and Johnson's,75g,36.25,36.25
Toilet Soap,Palmolive,55g,17,17
Toilet Soap,Palmolive,55g,17,17
Toilet Soap,Palmolive,55g,17,17
Toilet Soap,Safeguard,78g,40.75,40.75
Toilet Soap,Safeguard,78g,39,39
Toilet Soap,Safeguard,90g,29.25,29.25
Toilet Soap,Safeguard,78g,40.75,40.75
Toilet Soap,Safeguard,115g,52,52
Toilet Soap,Shield,85g,26.75,26.75
Toilet Soap,Shield,55g,17,14.75
Toilet Soap,Tender Care,115g,45,45
Toilet Soap,Tender Care,55g,17.75,17.75
Toilet Soap,Tender Care,80g,32,32
Toilet Soap,Shield,85g,23.25,23.25
Toilet Soap,Shield,85g,31.75,31.75
Toilet Soap,Shield,120g,38.75,38.75
Toilet Soap,Shield,85g,26.75,26.75
Canned Beef - Corned Beef,CDO,150g,28.75,28.75
Toilet Soap,Safeguard,65g,20,20
Toilet Soap,Safeguard,65g,20,20
Toilet Soap,Safeguard,65g,21.5,21.5
Toilet Soap,Safeguard,65g,18.5,18.5
Toilet Soap,Safeguard,65g,21.5,20
