commodity,brand,specification,jan,feb
Candles,Liwanag,2pcs./pack,79.5,79.5
Candles,Liwanag,2pcs./pack,177.5,177.5
Candles,Liwanag,6pcs./pack,,
Candles,Manila Wax,10 pcs./pack,53.75,53.75
Candles,Manila Wax,20pcs./pack,63.75,63.75
Candles,Manila Wax,20pcs./pack,46.75,46.75
Candles,Manila Wax,4pcs./pack,53.75,53.75
Candles,Manila Wax,2pcs./pack,58.75,58.75
Candles,Manila Wax,6 pcs./pack,81.75,81.75
Candles,Manila Wax,6 pcs./pack,81.75,76.85
Candles,Manila Wax,6 pcs./pack,71,71
Candles,Manila Wax,6 pcs./pack,71,64.05
Candles,Manila Wax,6 pcs./pack,58.75,58.75
Candles,Manila Wax,6 pcs./pack,,
Canned Sardines in tomato sauce,555,155g,,
Canned Sardines in tomato sauce,555,155g,23,23
Canned Sardines in tomato sauce,Asahi,155g,,
Canned Sardines in tomato sauce,Asahi,155g,,
Canned Sardines in tomato sauce,Atami,155g,20.5,20.5
Canned Sardines in tomato sauce,Atami,155g,,
Canned Sardines in tomato sauce,Blue Bay,155g,,
Canned Sardines in tomato sauce,Family's,155g,,
Canned Sardines in tomato sauce,Family's,155g,24,24
Canned Sardines in tomato sauce,Family's,155g,24.25,24.25
Canned Sardines in tomato sauce,Family's,130g,,
Canned Sardines in tomato sauce,Gold Cup,155g,20.75,20.75
Canned Sardines in tomato sauce,Golden Town,155g,,
Canned Sardines in tomato sauce,Hakata,155g,23.6,23.6
Canned Sardines in tomato sauce,Hakone,155g,23,23
Canned Sardines in tomato sauce,King Cup,155g,,
Canned Sardines in tomato sauce,King Cup,155g,21.75,21.75
Canned Sardines in tomato sauce,Ligo,155g,23.5,23.5
Canned Sardines in tomato sauce,Lucky 7,155g,19.5,19.65
Canned Sardines in tomato sauce,Mariko,155g,,
Canned Sardines in tomato sauce,Master,155g,26.95,24.9
Canned Sardines in tomato sauce,Master,155g,24.25,24.5
Canned Sardines in tomato sauce,Mega,155g,23.75,23.75
Canned Sardines in tomato sauce,Mikado,155g,,
Canned Sardines in tomato sauce,Mikado,155g,20.5,20.5
Canned Sardines in tomato sauce,Miko,155g,,
Canned Sardines in tomato sauce,Morjon,155g,,
Canned Sardines in tomato sauce,Paradiso,155g,,
Canned Sardines in tomato sauce,Rose Bowl,155g,,
Canned Sardines in tomato sauce,Rose Bowl,155g,24,24
Canned Sardines in tomato sauce,Saba Philippines,155g,,
Canned Sardines in tomato sauce,Saba Philippines,155g,,
Canned Sardines in tomato sauce,Sallenas Sardines,155g,,
Canned Sardines in tomato sauce,Sea Point,155g,19.75,19.75
Canned Sardines in tomato sauce,Señorita,155g,23.1,25
Canned Sardines in tomato sauce,SM Bonus,155g,22.95,22.95
Canned Sardines in tomato sauce,Swan,155g,23.25,23.25
Canned Sardines in tomato sauce,Toyo,130g,,
Canned Sardines in tomato sauce,Toyo,155g,,
Canned Sardines in tomato sauce,Toyo,155g,,
Canned Sardines in tomato sauce,Uni-Pak,155g,23.5,23.5
Canned Sardines in tomato sauce,Vinta,155g,0,24.75
Canned Sardines in tomato sauce,Young's Town,155g,23.25,22.8
Coffee,Great Taste,20g,,26.25
Coffee,Great Taste,40g,,51.25
Coffee,Great Taste,80g,104.5,101.25
Coffee,Great Taste,25g,,
Coffee,Great Taste,50g,,
Coffee,Great Taste,100g,102.25,102.25
Coffee,Kopi Juan,50g,34.75,34
Coffee,Nescafe,20g,,26.5
Coffee,Nescafe,40g,,51.75
Coffee,Nescafe,80g,,102.75
Coffee,Blend 45,25g,22.5,22.5
Coffee,Blend 45,100g,85,85
Coffee,Cafe Puro,25g,26.25,26.25
Coffee,Cafe Puro,50g,62.5,53.3
Coffee,Cafe Puro,100g,117.35,117.35
Coffee 3-in-1,Blend 45,18g,5,5.5
Coffee 3-in-1,Cafe Puro,17g,,
Coffee 3-in-1,Great Taste,33g,8.25,10
Coffee 3-in-1,Kopi Juan,25g,,
Coffee 3-in-1,Kopiko,30g,8.5,8.5
Coffee 3-in-1,Kopiko,30g,10.25,10.25
Coffee 3-in-1,Kopiko,25g,8.25,8.25
Coffee 3-in-1,Blend 45,20g,11.75,6
Coffee 3-in-1,Blend 45,52g,12.75,12.75
Coffee 3-in-1,Nescafe,20g,7.75,7.75
Coffee 3-in-1,Nescafe,26g,,
Coffee 3-in-1,San Mig,20g,6.5,6.5
Instant Noodles,Ho-Mi,55g,8.5,8.5
Instant Noodles,Ho-Mi,55g,8.5,8.5
Instant Noodles,Lucky Me!,55g,8.75,8.75
Instant Noodles,Lucky Me!,55g,8.75,8.75
Instant Noodles,Lucky Me!,100g,16.5,16.5
Instant Noodles,Lucky Me!,100g,16.5,16.5
Instant Noodles,Nissin,55g,10.65,10.65
Instant Noodles,Nissin,55g,10.65,10.65
Instant Noodles,Nissin,63g,,
Instant Noodles,Nissin,63g,13.5,13.5
Instant Noodles,Payless,55g,7.5,7.5
Instant Noodles,Payless,55g,7.5,7.5
Instant Noodles,Quick Chow,55g,7.75,7.75
Instant Noodles,Quick Chow,55g,7.75,7.75
Laundry Soap,Ariel,125g,15.5,15.5
Laundry Soap,Bareta,360g,,
Laundry Soap,Bareta,330g,,
Laundry Soap,Bareta,360g,,
Laundry Soap,Bareta,330g,,
Laundry Soap,Bareta,360g,,
Laundry Soap,Bareta,330g,,
Laundry Soap,Bareta,360g,,
Laundry Soap,Bareta,330g,,
Laundry Soap,Bareta,360g,,
Laundry Soap,Bareta,330g,,
Laundry Soap,Bonux,380g,,
Laundry Soap,Bonux,380g,,
Laundry Soap,Budget,360g,,
Laundry Soap,Budget,330g,19.5,19.5
Laundry Soap,Budget,360g,,
Laundry Soap,Budget,330g,21,21
Laundry Soap,Budget,360g,,
Laundry Soap,Budget,330g,19.5,19.5
Laundry Soap,Budget,360g,,
Laundry Soap,Budget,330g,19.5,19.5
Laundry Soap,Budget,360g,,
Laundry Soap,Budget,330g,19.5,19.5
Laundry Soap,Calla,370g,24,24
Laundry Soap,Calla,370g,24,24
Laundry Soap,Calla,370g,24,24
Laundry Soap,Calla,370g,21.75,21.75
Laundry Soap,Champion,370g,23,23
Laundry Soap,Champion,370g,23,23
Laundry Soap,Champion,370g,25,25
Laundry Soap,Champion,370g,25,25
Laundry Soap,Champion,370g,22.5,22.5
Laundry Soap,Lablast,390g,20.75,19.75
Laundry Soap,Perla,380g,59.75,59.5
Laundry Soap,Pride,400g,,
Laundry Soap,Pride,400g,,
Laundry Soap,Pride,400g,,
Laundry Soap,Pride,400g,,
Laundry Soap,Pride,380g,,
Laundry Soap,Pride,400g,,
Laundry Soap,Speed,330g,21,21
Laundry Soap,Speed,360g,,
Laundry Soap,Speed,360g,,
Laundry Soap,Speed,360g,,
Laundry Soap,Speed,330g,21,21
Laundry Soap,Speed,360g,,
Laundry Soap,Speed,330g,21,22.5
Laundry Soap,Speed,360g,,
Laundry Soap,Speed,330g,21.5,21.5
Laundry Soap,Sulit,360g,,
Laundry Soap,Sulit,330g,,
Laundry Soap,Sulit,360g,,
Laundry Soap,Sulit,330g,,
Laundry Soap,Sulit,360g,,
Laundry Soap,Sulit,330g,,
Laundry Soap,Sulit,360g,,
Laundry Soap,Sulit,330g,,
Laundry Soap,Surf,120g,11.5,11.5
Laundry Soap,Surf,360g,,
Laundry Soap,Surf,120g,11.5,11.5
Laundry Soap,Surf,360g,28.5,28.5
Laundry Soap,Surf,120g,10.75,10.75
Laundry Soap,Surf,360g,23,23
Laundry Soap,Surf,120g,,
Laundry Soap,Surf,360g,21.75,21.75
Laundry Soap,Surf,120g,11.5,11.5
Laundry Soap,Surf,360g,28.5,28.5
Laundry Soap,Tide,125g,15.5,15.5
Laundry Soap,Tide,125g,15.5,15.5
Laundry Soap,Tide,125g,15.5,15.5
Laundry Soap,Tide,380g,40,40
Laundry Soap,Tide,380g,38.25,38.25
Laundry Soap,Tide,450g,48.25,48.25
Laundry Soap,Tide,380g,40,40
Laundry Soap,Tide,450g,,
Laundry Soap,Tide,380g,24,24
Laundry Soap,Tide,450g,46,46
Laundry Soap,Tops,400g,30.75,30.75
Laundry Soap,Wings,370g,23,23
Laundry Soap,Wings,370g,26.5,26.5
Laundry Soap,Wings,370g,23,23
Laundry Soap,Wings,370g,26.5,26.5
Laundry Soap,Wings,370g,23,23
Processed Milk - Condensada,Alaska,160ml (206g),35,35
Processed Milk - Condensada,Alaska,370g,53.4,53.4
Processed Milk - Condensada,Alaska,545g,91.5,86.2
Processed Milk - Condensada,Alaska,1L,,
Processed Milk - Condensada,Angel,380g,58.5,58.5
Processed Milk - Condensada,Blue Cow,300ml,,
Processed Milk - Condensada,Carnation,388g,,
Processed Milk - Condensada,Cowbell,300ml,,
Processed Milk - Condensada,Dairy,380g,,
Processed Milk - Condensada,Daisy,390g,0,
Processed Milk - Condensada,Doreen,390ml,49.3,49.3
Processed Milk - Condensada,F & N,390g,44.25,44.25
Processed Milk - Condensada,F & N,500g,53.2,53.2
Processed Milk - Condensada,Goolait,390g,,
Processed Milk - Condensada,Healthy Cow,390g,38.75,38.75
Processed Milk - Condensada,Jersey,390ml,,
Processed Milk - Condensada,Jolly Cow,390ml,,
Processed Milk - Condensada,Liberty,168ml,,
Processed Milk - Condensada,Liberty,300ml,,
Processed Milk - Condensada,Liberty,374g,59.5,59.5
Processed Milk - Condensada,Marie,380g,41,41
Processed Milk - Condensada,Relish,390g,,44.5
Processed Milk - Condensada,Tropical Delights,390g,,
Processed Milk - Condensed,Alaska,160g,,
Processed Milk - Condensed,Alaska,208g,46,46
Processed Milk - Condensed,Alaska,377g,73,73
Processed Milk - Condensed,Angel,380g,,
Processed Milk - Condensed,Brooke Farms,390g,,
Processed Milk - Condensed,Cow Bell,360g,,
Processed Milk - Condensed,Cow Bell,374g,41,41
Processed Milk - Condensed,Jersey,390g,40.75,40.75
Processed Milk - Condensed,Milkmaid,300ml,,
Processed Milk - Condensed,Nestle,300ml,71.95,69
Processed Milk - Evaporada,Alaska,140ml,19.25,19.25
Processed Milk - Evaporada,Alaska,360ml,34.75,34.75
Processed Milk - Evaporada,Alaska,1L,94.5,91
